Trial 1,Trial 2,Trial 3,Average
1,3,4,2.6666666666666665
2,5,1,2.6666666666666665
4,0,7,3.6666666666666665
3,4,3,3.3333333333333335
1,2,6,3
3,3,2,2.6666666666666665
1,1,2,1.3333333333333333
6,2,2,3.3333333333333335
5,5,4,4.666666666666667
5,7,3,5
4,5,2,3.6666666666666665
4,11,0,5
6,5,0,3.6666666666666665
7,3,0,3.3333333333333335
8,5,1,4.666666666666667
14,1,1,5.333333333333333
9,4,2,5
11,4,3,6
9,5,1,5
13,6,2,7
10,3,2,5
16,5,0,7
16,3,0,6.333333333333333
23,10,2,11.666666666666666
14,7,3,8
13,7,1,7
11,5,1,5.666666666666667
16,6,3,8.333333333333334
18,5,6,9.666666666666666
9,3,6,6
12,12,11,11.666666666666666
16,7,7,10
11,4,8,7.666666666666667
14,9,1,8
15,4,10,9.666666666666666
13,9,12,11.333333333333334
16,13,12,13.666666666666666
12,9,10,10.333333333333334
13,11,22,15.333333333333334
15,8,18,13.666666666666666
18,9,15,14
12,14,21,15.666666666666666
16,7,13,12
15,9,16,13.333333333333334
16,4,16,12
14,15,16,15
15,13,18,15.333333333333334
17,13,17,15.666666666666666
13,10,18,13.666666666666666
15,7,14,12
12,11,21,14.666666666666666
11,10,17,12.666666666666666
15,10,19,14.666666666666666
11,5,19,11.666666666666666
14,8,19,13.666666666666666
19,8,17,14.666666666666666
11,9,20,13.333333333333334
8,11,19,12.666666666666666
18,7,23,16
13,9,25,15.666666666666666
12,8,24,14.666666666666666
14,10,24,16
15,7,28,16.666666666666668
13,9,30,17.333333333333332
11,14,31,18.666666666666668
18,10,25,17.666666666666668
11,6,22,13
11,9,23,14.333333333333334
14,10,20,14.666666666666666
17,13,27,19
20,14,23,19
17,13,18,16
14,8,25,15.666666666666666
18,13,22,17.666666666666668
13,10,17,13.333333333333334
9,13,23,15
18,12,26,18.666666666666668
17,15,22,18
14,15,21,16.666666666666668
15,12,30,19
15,13,18,15.333333333333334
15,12,25,17.333333333333332
16,11,26,17.666666666666668
17,12,25,18
10,11,23,14.666666666666666
13,15,24,17.333333333333332
18,20,25,21
13,18,28,19.666666666666668
15,13,26,18
14,12,23,16.333333333333332
16,8,24,16
10,18,23,17
20,10,21,17
23,12,28,21
14,17,19,16.666666666666668
13,16,20,16.333333333333332
14,19,28,20.333333333333332
7,14,22,14.333333333333334
12,17,30,19.666666666666668
15,8,26,16.333333333333332
10,15,32,19
9,15,32,18.666666666666668
16,13,24,17.666666666666668
14,17,27,19.333333333333332
14,10,30,18
10,16,30,18.666666666666668
16,16,31,21
18,12,29,19.666666666666668
13,9,29,17
14,11,27,17.333333333333332
16,15,29,20
20,16,24,20
15,13,27,18.333333333333332
17,5,34,18.666666666666668
14,6,28,16
19,12,25,18.666666666666668
10,9,22,13.666666666666666
14,10,29,17.666666666666668
13,9,27,16.333333333333332
16,8,32,18.666666666666668
16,7,26,16.333333333333332
12,11,24,15.666666666666666
17,8,30,18.333333333333332
16,7,32,18.333333333333332
15,7,29,17
14,3,26,14.333333333333334
22,11,24,19
19,12,26,19
15,5,27,15.666666666666666
14,6,28,16
20,12,29,20.333333333333332
14,11,33,19.333333333333332
22,10,25,19
18,6,27,17
15,11,30,18.666666666666668
19,11,33,21
19,8,26,17.666666666666668
15,7,27,16.333333333333332
18,9,26,17.666666666666668
25,8,25,19.333333333333332
20,11,26,19
19,12,29,20
18,12,31,20.333333333333332
18,8,32,19.333333333333332
21,16,30,22.333333333333332
14,6,26,15.333333333333334
15,15,27,19
16,9,21,15.333333333333334
17,16,25,19.333333333333332
14,16,28,19.333333333333332
18,12,25,18.333333333333332
16,13,21,16.666666666666668
26,9,26,20.333333333333332
16,9,25,16.666666666666668
14,7,30,17
18,10,25,17.666666666666668
16,8,29,17.666666666666668
12,8,32,17.333333333333332
21,8,28,19
17,9,27,17.666666666666668
14,8,31,17.666666666666668
15,8,28,17
17,10,25,17.333333333333332
16,9,31,18.666666666666668
16,7,20,14.333333333333334
17,6,25,16
20,9,31,20
16,9,28,17.666666666666668
17,9,28,18
16,10,24,16.666666666666668
18,10,25,17.666666666666668
15,8,24,15.666666666666666
11,12,29,17.333333333333332
21,7,22,16.666666666666668
14,11,27,17.333333333333332
13,10,29,17.333333333333332
16,9,31,18.666666666666668
15,11,30,18.666666666666668
12,11,32,18.333333333333332
11,14,31,18.666666666666668
9,13,29,17
16,8,28,17.333333333333332
12,12,27,17
16,12,26,18
13,6,34,17.666666666666668
16,14,30,20
11,7,26,14.666666666666666
10,10,35,18.333333333333332
11,9,28,16
8,8,30,15.333333333333334
11,6,31,16
12,12,31,18.333333333333332
9,11,26,15.333333333333334
14,7,29,16.666666666666668
11,9,33,17.666666666666668
12,8,27,15.666666666666666
10,13,33,18.666666666666668
13,10,33,18.666666666666668
17,10,30,19
12,14,30,18.666666666666668
12,7,32,17
9,8,31,16
12,8,35,18.333333333333332
14,16,30,20
17,14,30,20.333333333333332
14,9,29,17.333333333333332
16,13,31,20
15,15,27,19
19,13,29,20.333333333333332
12,10,33,18.333333333333332
14,12,32,19.333333333333332
10,15,29,18
10,15,29,18
12,5,27,14.666666666666666
13,9,30,17.333333333333332
18,14,36,22.666666666666668
16,16,31,21
9,6,30,15
16,12,32,20
7,14,32,17.666666666666668
14,10,31,18.333333333333332
9,10,28,15.666666666666666
13,11,35,19.666666666666668
15,8,30,17.666666666666668
14,12,35,20.333333333333332
14,10,37,20.333333333333332
18,9,32,19.666666666666668
14,14,30,19.333333333333332
16,14,28,19.333333333333332
12,8,33,17.666666666666668
12,5,26,14.333333333333334
14,14,29,19
18,13,37,22.666666666666668
16,12,33,20.333333333333332
13,11,31,18.333333333333332
11,9,34,18
14,7,31,17.333333333333332
18,8,32,19.333333333333332
15,14,28,19
19,15,31,21.666666666666668
18,13,31,20.666666666666668
15,13,24,17.333333333333332
15,8,31,18
21,9,25,18.333333333333332
16,8,23,15.666666666666666
16,7,25,16
16,11,31,19.333333333333332
15,11,28,18
16,10,28,18
8,14,32,18
12,6,24,14
10,11,29,16.666666666666668
13,13,30,18.666666666666668
15,10,25,16.666666666666668
14,8,32,18
13,5,36,18
19,14,36,23
12,12,41,21.666666666666668
8,10,30,16
5,8,37,16.666666666666668
11,9,31,17
13,8,33,18
8,6,29,14.333333333333334
10,7,33,16.666666666666668
12,14,24,16.666666666666668
7,10,24,13.666666666666666
3,6,31,13.333333333333334
10,6,25,13.666666666666666
6,7,23,12
9,5,25,13
11,8,28,15.666666666666666
13,12,24,16.333333333333332
11,13,26,16.666666666666668
12,14,27,17.666666666666668
13,11,30,18
13,7,26,15.333333333333334
17,14,21,17.333333333333332
12,14,24,16.666666666666668
10,13,25,16
11,9,28,16
9,5,33,15.666666666666666
14,7,30,17
10,14,26,16.666666666666668
14,8,31,17.666666666666668
13,6,29,16
9,6,26,13.666666666666666
16,6,30,17.333333333333332
15,11,29,18.333333333333332
20,9,27,18.666666666666668
15,12,31,19.333333333333332
12,5,23,13.333333333333334
17,8,29,18
13,7,31,17
17,10,30,19
18,10,27,18.333333333333332
17,6,30,17.666666666666668
15,8,28,17
13,3,33,16.333333333333332
13,5,30,16
11,6,35,17.333333333333332
